"filename", "language", "XML", "PostCSS", "Java", "Shell Script", "YAML", "PowerShell", "Markdown", "Batch", "C++", "Clojure", "CMake", "C", "Perl", "Ini", "Ruby", "Lua", "Python", "JSON", "Go", "Properties", "comment", "blank", "total"
"/Users/radnooooo/Code/project/scrabblohhhhh/dist/Scrabblohhhhh/runtime/legal/java.base/public_suffix.md", "Markdown", 0, 0, 0, 0, 0, 0, 314, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86, 400
"/Users/radnooooo/Code/project/scrabblohhhhh/dist/Scrabblohhhhh/runtime/legal/java.base/siphash.md", "Markdown", 0, 0, 0, 0, 0, 0, 120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 151
"/Users/radnooooo/Code/project/scrabblohhhhh/dist/Scrabblohhhhh/runtime/legal/java.base/unicode.md", "Markdown", 0, 0, 0, 0, 0, 0, 226, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 270
"/Users/radnooooo/Code/project/scrabblohhhhh/dist/Scrabblohhhhh/runtime/legal/java.base/wepoll.md", "Markdown", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 35
"/Users/radnooooo/Code/project/scrabblohhhhh/dist/Scrabblohhhhh/runtime/legal/java.base/zlib.md", "Markdown", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 28
"/Users/radnooooo/Code/project/scrabblohhhhh/dist/Scrabblohhhhh/runtime/legal/java.desktop/colorimaging.md", "Markdown", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"/Users/radnooooo/Code/project/scrabblohhhhh/dist/Scrabblohhhhh/runtime/legal/java.desktop/freetype.md", "Markdown", 0, 0, 0, 0, 0, 0, 518, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 132, 650
"/Users/radnooooo/Code/project/scrabblohhhhh/dist/Scrabblohhhhh/runtime/legal/java.desktop/giflib.md", "Markdown", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 47
"/Users/radnooooo/Code/project/scrabblohhhhh/dist/Scrabblohhhhh/runtime/legal/java.desktop/harfbuzz.md", "Markdown", 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 105
"/Users/radnooooo/Code/project/scrabblohhhhh/dist/Scrabblohhhhh/runtime/legal/java.desktop/jpeg.md", "Markdown", 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 78
